Package	Version
googledrive	2.0.0
googlesheets4	1.0.0
gower	1.0.0
GPfit	1.0-8
graph	1.72.0
gridExtra	2.3
gtable	0.3.0
gtools	3.9.3
hardhat	1.2.0
haven	2.5.0
here	1.0.1
hexbin	1.28.2
highr	0.9
Hmisc	4.7-0
hms	1.1.1
htmlTable	2.4.1
htmltools	0.5.3
htmlwidgets	1.5.4
httpcode	0.3.0
httpuv	1.6.5
httr	1.4.3
ids	1.0.1
infer	1.0.2
ini	0.3.1
interp	1.1-3
ipred	0.9-13
IRanges	2.28.0
IRdisplay	1.1
IRkernel	1.3
isoband	0.2.5
iterators	1.0.14
jpeg	0.1-9
jquerylib	0.1.4
jsonlite	1.8.0
KEGGREST	1.34.0
KernSmooth	2.23-20
knitr	1.39
labeling	0.4.2
lambda.r	1.2.4
later	1.2.0
lattice	0.20-45
latticeExtra	0.6-30
lava	1.6.10
lazyeval	0.2.2
lhs	1.1.5
lifecycle	1.0.1
listenv	0.8.0
lme4	1.1-30
lobstr	1.1.2
lubridate	1.8.0
magrittr	2.0.3
maps	3.4.0
maptools	1.1-4
MASS	7.3-58
Matrix	1.4-1
MatrixGenerics	1.6.0
MatrixModels	0.5-0
matrixStats	0.62.0
memoise	2.0.1
mgcv	1.8-40
mime	0.12
miniUI	0.1.1.1
minqa	1.2.4
modeldata	1.0.0
ModelMetrics	1.2.2.2
modelr	0.1.8
multcomp	1.4-19
multcompView	0.1-8
munsell	0.5.0
mvtnorm	1.1-3
nlme	3.1-158
nloptr	2.0.3
nnet	7.3-17
numDeriv	2016.8-1.1
openssl	2.0.2
openxlsx	4.2.5
OrganismDbi	1.36.0
orthopolynom	1.0-6
parallelly	1.32.1
parsnip	1.0.0
patchwork	1.1.1
pbdZMQ	0.3-7
pbkrtest	0.5.1
pillar	1.8.0
pkgbuild	1.3.1
pkgconfig	2.0.3
pkgdown	2.0.6
pkgload	1.3.0
plogr	0.2.0
plotrix	3.8-2
plyr	1.8.7
png	0.1-7
polynom	1.4-1
praise	1.0.0
prettyunits	1.1.1
pROC	1.18.0
processx	3.7.0
prodlim	2019.11.13
profvis	0.3.7
progress	1.2.2
progressr	0.10.1
promises	1.2.0.1
ProtGenerics	1.26.0
proxy	0.4-27
pryr	0.1.5
ps	1.7.1
purrr	0.3.4
quantmod	0.4.20
quantreg	5.94
R6	2.5.1
ragg	1.2.2
randomForest	4.7-1.1
rappdirs	0.3.3
RBGL	1.70.0
rbokeh	0.5.2
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.0.9
RcppArmadillo	0.11.2.0.0
RcppEigen	0.3.3.9.2
RcppProgress	0.4.2
RcppTOML	0.1.7
RCurl	1.98-1.7
readr	2.1.2
readxl	1.4.0
recipes	1.0.1
rematch	1.0.1
rematch2	2.1.2
remotes	2.4.2
repr	1.1.4
reprex	2.0.1
reshape	0.8.9
reshape2	1.4.4
restfulr	0.0.15
reticulate	1.25
Rhtslib	1.26.0
rio	0.5.29
rJava	1.0-6
rjson	0.2.21
rlang	1.0.4
rmarkdown	2.14
roxygen2	7.2.1
rpart	4.1.16
rprojroot	2.0.3
rsample	1.0.0
Rsamtools	2.10.0
RSQLite	2.2.8
rstudioapi	0.13
rTASSEL	0.9.26
rtracklayer	1.54.0
rversions	2.1.1
rvest	1.0.2
S4Vectors	0.32.3
sandwich	3.0-2
sass	0.4.2
scales	1.2.0
selectr	0.4-2
sessioninfo	1.2.2
shape	1.4.6
shiny	1.7.2
slider	0.2.2
snow	0.4-4
sommer	4.1.7
sourcetools	0.1.7
sp	1.5-0
SparseM	1.81
spatial	7.3-15
SQUAREM	2021.1
statmod	1.4.36
stringi	1.7.8
stringr	1.4.0
SummarizedExperiment	1.24.0
survival	3.3-1
sys	3.4
systemfonts	1.0.4
testthat	3.1.4
textshaping	0.3.6
TH.data	1.1-1
tibble	3.1.8
tidymodels	1.0.0
tidyr	1.2.0
tidyselect	1.1.2
tidyverse	1.3.2
timeDate	4021.104
tinytex	0.40
triebeard	0.3.0
TTR	0.24.3
tune	1.0.0
tweenr	2.0.0
tzdb	0.3.0
urlchecker	1.0.1
urltools	1.7.3
usethis	2.1.6
utf8	1.2.2
uuid	1.1-0
VariantAnnotation	1.40.0
vctrs	0.4.1
viridis	0.6.2
viridisLite	0.4.0
vroom	1.5.7
waldo	0.4.0
warp	0.2.0
whisker	0.4
withr	2.5.0
workflows	1.0.0
workflowsets	1.0.0
xfun	0.31
XML	3.99-0.10
xml2	1.3.3
xopen	1.0.0
xtable	1.8-4
xts	0.12.1
XVector	0.34.0
yaml	2.3.5
yardstick	1.0.0
zip	2.2.0
zlibbioc	1.40.0
zoo	1.8-10
